seq;cycle_wb;slot;pc;op;F_fetch;L_latency;W_wait;T_time
1;3;0;0;LOAD ;0;4;0;4
2;3;1;1;NOP  ;0;4;0;4
3;3;2;2;NOP  ;0;4;0;4
4;4;0;3;NOP  ;1;4;0;4
5;4;1;4;NOP  ;1;4;0;4
6;4;2;5;NOP  ;1;4;0;4
7;5;0;6;SUB  ;2;4;0;4
8;5;1;7;SUB  ;2;4;0;4
9;5;2;8;SUB  ;2;4;0;4
10;6;0;9;NOP  ;3;4;0;4
11;6;1;10;NOP  ;3;4;0;4
12;6;2;11;NOP  ;3;4;0;4
13;7;0;12;ADD  ;4;4;0;4
14;7;1;13;NOP  ;4;4;0;4
15;7;2;14;JL   ;4;4;0;4
16;10;0;15;SUB  ;7;4;2;6
17;10;1;16;NOP  ;7;4;0;4
18;10;2;17;JL   ;7;4;0;4
19;13;0;18;LOAD ;10;4;2;6
20;13;1;19;NOP  ;10;4;0;4
21;13;2;20;JL   ;10;4;0;4
22;16;0;21;STORE;13;4;2;6
23;16;1;22;NOP  ;13;4;0;4
24;16;2;23;JL   ;13;4;0;4
25;19;0;24;NOP  ;16;4;2;6
26;19;1;25;NOP  ;16;4;0;4
27;19;2;26;JL   ;16;4;0;4
28;22;0;27;JL   ;19;4;2;6
29;25;0;30;ADD  ;22;4;2;6
30;25;1;31;NOP  ;22;4;0;4
31;25;2;32;JL   ;22;4;0;4
32;28;0;33;SUB  ;25;4;2;6
33;28;1;34;NOP  ;25;4;0;4
34;28;2;35;JL   ;25;4;0;4
35;31;0;36;LOAD ;28;4;2;6
36;31;1;37;NOP  ;28;4;0;4
37;31;2;38;JL   ;28;4;0;4
38;34;0;39;STORE;31;4;2;6
39;34;1;40;NOP  ;31;4;0;4
40;34;2;41;JL   ;31;4;0;4
41;37;0;42;NOP  ;34;4;2;6
42;37;1;43;NOP  ;34;4;0;4
43;37;2;44;JL   ;34;4;0;4
44;40;0;45;JL   ;37;4;2;6
45;43;0;48;ADD  ;40;4;2;6
46;43;1;49;NOP  ;40;4;0;4
47;43;2;50;JL   ;40;4;0;4
48;46;0;51;SUB  ;43;4;2;6
49;46;1;52;NOP  ;43;4;0;4
50;46;2;53;JL   ;43;4;0;4
51;49;0;54;LOAD ;46;4;2;6
52;49;1;55;NOP  ;46;4;0;4
53;49;2;56;JL   ;46;4;0;4
54;52;0;57;STORE;49;4;2;6
55;52;1;58;NOP  ;49;4;0;4
56;52;2;59;JL   ;49;4;0;4
57;55;0;60;NOP  ;52;4;2;6
58;55;1;61;NOP  ;52;4;0;4
59;55;2;62;JL   ;52;4;0;4
60;58;0;63;JL   ;55;4;2;6
61;61;0;66;ADD  ;58;4;2;6
62;61;1;67;NOP  ;58;4;0;4
63;61;2;68;JL   ;58;4;0;4
64;64;0;69;SUB  ;61;4;2;6
65;64;1;70;NOP  ;61;4;0;4
66;64;2;71;JL   ;61;4;0;4
67;67;0;72;LOAD ;64;4;2;6
68;67;1;73;NOP  ;64;4;0;4
69;67;2;74;JL   ;64;4;0;4
70;70;0;75;STORE;67;4;2;6
71;70;1;76;NOP  ;67;4;0;4
72;70;2;77;JL   ;67;4;0;4
73;73;0;78;NOP  ;70;4;2;6
74;73;1;79;NOP  ;70;4;0;4
75;73;2;80;JL   ;70;4;0;4
76;76;0;81;JL   ;73;4;2;6
77;79;0;84;HALT ;76;4;2;6
