seq;cycle_wb;slot;pc;op;F_fetch;L_latency;W_wait;T_time
1;3;0;0;LOAD ;0;4;0;4
2;3;1;1;NOP  ;0;4;0;4
3;3;2;2;NOP  ;0;4;0;4
4;4;0;3;NOP  ;1;4;0;4
5;4;1;4;NOP  ;1;4;0;4
6;4;2;5;NOP  ;1;4;0;4
7;5;0;6;LOAD ;2;4;0;4
8;5;1;7;LOAD ;2;4;0;4
9;5;2;8;ADD  ;2;4;0;4
10;6;0;9;ADD  ;3;4;0;4
11;6;1;10;NOP  ;3;4;0;4
12;6;2;11;NOP  ;3;4;0;4
13;7;0;12;NOP  ;4;4;0;4
14;7;1;13;NOP  ;4;4;0;4
15;7;2;14;NOP  ;4;4;0;4
16;8;0;15;NOP  ;5;4;0;4
17;8;1;16;NOP  ;5;4;0;4
18;8;2;17;NOP  ;5;4;0;4
19;9;0;18;ADD  ;6;4;0;4
20;9;1;19;ADD  ;6;4;0;4
21;9;2;20;JL   ;6;4;0;4
22;12;0;21;ADD  ;9;4;2;6
23;12;1;22;ADD  ;9;4;0;4
24;12;2;23;JL   ;9;4;0;4
25;15;0;24;ADD  ;12;4;2;6
26;15;1;25;ADD  ;12;4;0;4
27;15;2;26;JL   ;12;4;0;4
28;18;0;27;ADD  ;15;4;2;6
29;18;1;28;ADD  ;15;4;0;4
30;18;2;29;JL   ;15;4;0;4
31;21;0;30;ADD  ;18;4;2;6
32;21;1;31;ADD  ;18;4;0;4
33;21;2;32;JL   ;18;4;0;4
34;24;0;33;ADD  ;21;4;2;6
35;24;1;34;ADD  ;21;4;0;4
36;24;2;35;JL   ;21;4;0;4
37;27;0;36;ADD  ;24;4;2;6
38;27;1;37;ADD  ;24;4;0;4
39;27;2;38;JL   ;24;4;0;4
40;30;0;39;ADD  ;27;4;2;6
41;30;1;40;ADD  ;27;4;0;4
42;30;2;41;JL   ;27;4;0;4
43;33;0;42;ADD  ;30;4;2;6
44;33;1;43;ADD  ;30;4;0;4
45;33;2;44;JL   ;30;4;0;4
46;36;0;45;ADD  ;33;4;2;6
47;36;1;46;ADD  ;33;4;0;4
48;36;2;47;JL   ;33;4;0;4
49;39;0;48;ADD  ;36;4;2;6
50;39;1;49;ADD  ;36;4;0;4
51;39;2;50;JL   ;36;4;0;4
52;42;0;51;ADD  ;39;4;2;6
53;42;1;52;ADD  ;39;4;0;4
54;42;2;53;JL   ;39;4;0;4
55;45;0;54;ADD  ;42;4;2;6
56;45;1;55;ADD  ;42;4;0;4
57;45;2;56;JL   ;42;4;0;4
58;48;0;57;ADD  ;45;4;2;6
59;48;1;58;ADD  ;45;4;0;4
60;48;2;59;JL   ;45;4;0;4
61;51;0;60;ADD  ;48;4;2;6
62;51;1;61;ADD  ;48;4;0;4
63;51;2;62;JL   ;48;4;0;4
64;54;0;63;ADD  ;51;4;2;6
65;54;1;64;ADD  ;51;4;0;4
66;54;2;65;JL   ;51;4;0;4
67;57;0;66;ADD  ;54;4;2;6
68;57;1;67;ADD  ;54;4;0;4
69;57;2;68;JL   ;54;4;0;4
70;60;0;69;ADD  ;57;4;2;6
71;60;1;70;ADD  ;57;4;0;4
72;60;2;71;JL   ;57;4;0;4
73;63;0;72;ADD  ;60;4;2;6
74;63;1;73;ADD  ;60;4;0;4
75;63;2;74;JL   ;60;4;0;4
76;66;0;75;ADD  ;63;4;2;6
77;66;1;76;ADD  ;63;4;0;4
78;66;2;77;JL   ;63;4;0;4
79;69;0;78;ADD  ;66;4;2;6
80;69;1;79;ADD  ;66;4;0;4
81;69;2;80;JL   ;66;4;0;4
82;72;0;81;ADD  ;69;4;2;6
83;72;1;82;ADD  ;69;4;0;4
84;72;2;83;JL   ;69;4;0;4
85;75;0;84;ADD  ;72;4;2;6
86;75;1;85;ADD  ;72;4;0;4
87;75;2;86;JL   ;72;4;0;4
88;78;0;87;ADD  ;75;4;2;6
89;78;1;88;ADD  ;75;4;0;4
90;78;2;89;JL   ;75;4;0;4
91;81;0;90;HALT ;78;4;2;6
